name	break5	break3	delread	wtread	heteroplasmy
SRR20751597.20000	11096	11177	1	1	50
SRR20751597.20000	11658	11697	1	3	25
SRR20751597.20000	8466	8620	1	4	20
SRR20751597.20000	14341	14378	1	0	100
SRR20751597.200000	14364	14741	1	13	7.14285714285714
SRR20751597.200000	9566	9635	1	30	3.2258064516129
SRR20751597.200000	12928	12997	1	11	8.33333333333333
SRR20751597.200000	8479	8626	1	38	2.56410256410256
SRR20751597.200000	4884	4938	1	14	6.66666666666667
SRR20751597.200000	11658	11697	3	29	9.375
SRR20751597.200000	2213	2257	1	30	3.2258064516129
SRR20751597.200000	6481	6678	1	86	1.14942528735632
SRR20751597.200000	13970	14023	2	18	10
SRR20751597.200000	8466	8620	1	42	2.32558139534884
SRR20751597.200000	14081	14143	2	20	9.09090909090909
SRR20751597.200000	11096	11177	1	32	3.03030303030303
SRR20751597.200000	6038	6097	1	78	1.26582278481013
SRR20751597.200000	14615	14711	1	20	4.76190476190476
SRR20751597.200000	10599	10751	1	30	3.2258064516129
SRR20751597.200000	10830	10890	1	26	3.7037037037037
SRR20751597.200000	9328	9399	1	33	2.94117647058824
SRR20751597.200000	11752	11802	1	37	2.63157894736842
SRR20751597.200000	14789	14881	1	11	8.33333333333333
SRR20751597.200000	14618	14689	1	26	3.7037037037037
SRR20751597.200000	13851	14020	1	19	5
SRR20751597.200000	14341	14378	1	18	5.26315789473684
SRR20751597.200000	1682	1731	1	2	33.3333333333333
SRR20751597.200000	14797	14934	1	10	9.09090909090909
SRR20751597.200000	12372	12550	1	7	12.5
SRR20751597.200000	798	861	1	10	9.09090909090909
SRR20751597.200000	2755	2846	1	26	3.7037037037037
SRR20751597.200000	10738	10801	1	34	2.85714285714286
SRR20751597.200000	1970	2025	1	58	1.69491525423729
SRR20751597.2000000	4715	4762	1	112	0.884955752212389
SRR20751597.2000000	6517	6586	1	832	0.120048019207683
SRR20751597.2000000	10292	10376	1	221	0.45045045045045
SRR20751597.2000000	4897	4941	1	136	0.72992700729927
SRR20751597.2000000	11746	11798	1	280	0.355871886120996
SRR20751597.2000000	1709	1807	1	164	0.606060606060606
SRR20751597.2000000	9645	9761	1	368	0.2710027100271
SRR20751597.2000000	14364	14403	1	211	0.471698113207547
SRR20751597.2000000	11747	11803	1	299	0.333333333333333
SRR20751597.2000000	14615	14711	6	178	3.26086956521739
SRR20751597.2000000	9412	9508	1	302	0.33003300330033
SRR20751597.2000000	2731	2824	1	266	0.374531835205993
SRR20751597.2000000	12372	12415	1	40	2.4390243902439
SRR20751597.2000000	8650	8749	1	439	0.227272727272727
SRR20751597.2000000	14621	14693	2	200	0.99009900990099
SRR20751597.2000000	14341	14378	1	196	0.50761421319797
SRR20751597.2000000	10619	10749	1	234	0.425531914893617
SRR20751597.2000000	6814	6943	1	1282	0.0779423226812159
SRR20751597.2000000	2403	2441	1	260	0.383141762452107
SRR20751597.2000000	7165	7436	1	899	0.111111111111111
SRR20751597.2000000	9352	9387	1	268	0.371747211895911
SRR20751597.2000000	13676	13901	1	208	0.478468899521531
SRR20751597.2000000	8441	8495	3	240	1.23456790123457
SRR20751597.2000000	4879	4930	1	148	0.671140939597315
SRR20751597.2000000	9414	9510	3	285	1.04166666666667
SRR20751597.2000000	2755	2846	1	242	0.411522633744856
SRR20751597.2000000	3790	4219	1	130	0.763358778625954
SRR20751597.2000000	11856	11964	1	472	0.211416490486258
SRR20751597.2000000	15637	15829	1	211	0.471698113207547
SRR20751597.2000000	4714	4763	1	114	0.869565217391304
SRR20751597.2000000	6306	6526	1	1098	0.0909918107370337
SRR20751597.2000000	9412	9511	2	286	0.694444444444444
SRR20751597.2000000	7396	7465	1	1014	0.0985221674876847
SRR20751597.2000000	12962	13036	1	124	0.8
SRR20751597.2000000	9211	9422	1	158	0.628930817610063
SRR20751597.2000000	6048	6110	1	691	0.144508670520231
SRR20751597.2000000	1711	1809	1	167	0.595238095238095
SRR20751597.2000000	14081	14143	2	210	0.943396226415094
SRR20751597.2000000	5319	5454	1	154	0.645161290322581
SRR20751597.2000000	6481	6678	1	857	0.116550116550117
SRR20751597.2000000	7938	7984	1	576	0.173310225303293
SRR20751597.2000000	13970	14023	16	204	7.27272727272727
SRR20751597.2000000	11658	11772	1	322	0.309597523219814
SRR20751597.2000000	1682	1731	1	18	5.26315789473684
SRR20751597.2000000	8466	8620	1	378	0.263852242744063
SRR20751597.2000000	9316	9511	1	374	0.266666666666667
SRR20751597.2000000	12348	12583	1	42	2.32558139534884
SRR20751597.2000000	11977	12100	1	324	0.307692307692308
SRR20751597.2000000	12928	12997	1	92	1.0752688172043
SRR20751597.2000000	12063	12093	1	178	0.558659217877095
SRR20751597.2000000	10837	10898	3	216	1.36986301369863
SRR20751597.2000000	11653	11692	1	319	0.3125
SRR20751597.2000000	8428	8634	4	322	1.22699386503067
SRR20751597.2000000	3438	3753	1	140	0.709219858156028
SRR20751597.2000000	15650	15824	1	220	0.452488687782805
SRR20751597.2000000	14631	14670	1	190	0.523560209424084
SRR20751597.2000000	2751	2842	2	232	0.854700854700855
SRR20751597.2000000	9413	9509	6	300	1.96078431372549
SRR20751597.2000000	11809	11971	1	367	0.271739130434783
SRR20751597.2000000	5881	5921	1	78	1.26582278481013
SRR20751597.2000000	12372	12550	1	102	0.970873786407767
SRR20751597.2000000	12063	12131	1	154	0.645161290322581
SRR20751597.2000000	14740	14993	1	88	1.12359550561798
SRR20751597.2000000	5927	6060	1	353	0.282485875706215
SRR20751597.2000000	11658	11697	18	303	5.60747663551402
SRR20751597.2000000	1751	1865	1	314	0.317460317460317
SRR20751597.2000000	11654	11693	7	317	2.16049382716049
SRR20751597.2000000	14471	14658	1	277	0.359712230215827
SRR20751597.2000000	11501	11696	1	342	0.291545189504373
SRR20751597.2000000	7814	7861	1	368	0.2710027100271
SRR20751597.2000000	10830	10890	14	238	5.55555555555556
SRR20751597.2000000	6582	6641	1	1180	0.0846740050804403
SRR20751597.2000000	11663	11701	1	275	0.36231884057971
SRR20751597.2000000	1970	2025	2	537	0.371057513914657
SRR20751597.2000000	1886	1930	1	424	0.235294117647059
SRR20751597.2000000	14334	14403	1	242	0.411522633744856
SRR20751597.2000000	8922	9026	1	460	0.216919739696312
SRR20751597.2000000	14365	14698	1	174	0.571428571428571
SRR20751597.2000000	15357	15421	3	176	1.67597765363128
SRR20751597.2000000	4038	4071	1	106	0.934579439252336
SRR20751597.2000000	10599	10751	1	246	0.404858299595142
SRR20751597.2000000	15402	15447	1	152	0.65359477124183
SRR20751597.2000000	3494	3950	1	161	0.617283950617284
SRR20751597.2000000	14476	14689	4	208	1.88679245283019
SRR20751597.2000000	10522	10576	2	48	4
SRR20751597.2000000	7398	7465	1	997	0.100200400801603
SRR20751597.2000000	10950	11043	1	388	0.25706940874036
SRR20751597.2000000	4881	4935	1	146	0.680272108843537
SRR20751597.2000000	14385	14549	1	263	0.378787878787879
SRR20751597.2000000	10599	10700	1	246	0.404858299595142
SRR20751597.2000000	15328	15445	1	166	0.598802395209581
SRR20751597.2000000	9027	9091	1	384	0.25974025974026
SRR20751597.2000000	6582	6621	1	936	0.106723585912487
SRR20751597.2000000	11275	11344	1	321	0.31055900621118
SRR20751597.2000000	4880	4935	2	150	1.31578947368421
SRR20751597.2000000	10778	10833	1	254	0.392156862745098
SRR20751597.2000000	2251	2325	2	323	0.615384615384615
SRR20751597.2000000	11889	11946	1	513	0.194552529182879
SRR20751597.2000000	9030	9117	1	393	0.253807106598985
SRR20751597.2000000	11496	11618	1	426	0.234192037470726
SRR20751597.2000000	6480	6642	3	1160	0.257953568357696
SRR20751597.2000000	6482	6527	4	855	0.465657741559953
SRR20751597.2000000	7940	7986	1	578	0.172711571675302
SRR20751597.2000000	2216	2254	1	276	0.36101083032491
SRR20751597.2000000	14128	14281	1	208	0.478468899521531
SRR20751597.2000000	1942	2160	1	488	0.204498977505112
SRR20751597.2000000	11509	11670	1	327	0.304878048780488
SRR20751597.2000000	11096	11177	1	299	0.333333333333333
SRR20751597.2000000	8589	8726	1	468	0.213219616204691
SRR20751597.2000000	13442	13500	2	126	1.5625
SRR20751597.2000000	13289	13325	1	134	0.740740740740741
SRR20751597.2000000	11029	11124	1	416	0.239808153477218
SRR20751597.2000000	8456	8675	3	376	0.79155672823219
SRR20751597.2000000	8783	9032	1	466	0.214132762312634
SRR20751597.2000000	8443	8496	1	240	0.4149377593361
SRR20751597.2000000	10738	10801	1	321	0.31055900621118
