name	break5	break3	delread	wtread	heteroplasmy	sample	cluster	pt	total_depth	p_value	q_value
p103_m68.Astrocyte	5202	5299	2	96	2.04081632653061	p103_m68	Astrocyte	pd	98	0.09227838972132574	0.20023085999340298
p103_m68.Astrocyte	2076	3850	2	252	0.78740157480315	p103_m68	Astrocyte	pd	254	0.34104433838134285	0.4597610209748484
p103_m68.Astrocyte	775	12007	2	253	0.784313725490196	p103_m68	Astrocyte	pd	255	0.34254263790637207	0.4608219706037963
p103_m68.Astrocyte	1373	6582	2	63	3.07692307692308	p103_m68	Astrocyte	pd	65	0.046691756428395514	0.1295881979209141
p103_m68.Astrocyte	1380	2131	3	222	1.33333333333333	p103_m68	Astrocyte	pd	225	0.1200442882694952	0.23856303562759015
p103_m68.Astrocyte	2253	5335	3	340	0.87463556851312	p103_m68	Astrocyte	pd	343	0.24881123288449225	0.3803029798217635
p103_m68.Astrocyte	7230	14279	4	39	9.30232558139535	p103_m68	Astrocyte	pd	43	0.00017698981316294216	0.0023205340687536265
p103_m68.Astrocyte	1716	5290	3	131	2.23880597014925	p103_m68	Astrocyte	pd	134	0.04021861241928648	0.11774784204097108
p103_m68.Astrocyte	960	9755	2	235	0.843881856540084	p103_m68	Astrocyte	pd	237	0.315193375147107	0.4376613460784232
p103_m68.Astrocyte	1103	5366	2	56	3.44827586206897	p103_m68	Astrocyte	pd	58	0.038301622408630775	0.11323198019761445
p103_m68.Astrocyte	1487	10863	2	16	11.1111111111111	p103_m68	Astrocyte	pd	18	0.004276961897373477	0.023740541254086558
p103_m68.Astrocyte	8394	8790	3	19	13.6363636363636	p103_m68	Astrocyte	pd	22	0.0003053811049010813	0.003523926999303826
p103_m68.Dopaminergic_neuron	1697	8933	2	336	0.591715976331361	p103_m68	Dopaminergic_neuron	pd	338	0.4573513711537671	0.5587522812991201
p103_m68.Dopaminergic_neuron	8968	9001	2	293	0.677966101694915	p103_m68	Dopaminergic_neuron	pd	295	0.400286613041142	0.5117845475448489
p103_m68.Dopaminergic_neuron	2967	5285	2	382	0.520833333333333	p103_m68	Dopaminergic_neuron	pd	384	0.5125719744331989	0.6028303693087544
p103_m68.Dopaminergic_neuron	1531	5325	2	117	1.68067226890756	p103_m68	Dopaminergic_neuron	pd	119	0.12471898525913172	0.24516714267453937
p103_m68.Dopaminergic_neuron	1105	11950	2	196	1.01010101010101	p103_m68	Dopaminergic_neuron	pd	198	0.2535077709786069	0.3836028499793067
p103_m68.Dopaminergic_neuron	1702	8141	2	488	0.408163265306122	p103_m68	Dopaminergic_neuron	pd	490	0.6185105235511781	0.6823024140852816
p103_m68.Dopaminergic_neuron	9836	12007	2	521	0.382409177820268	p103_m68	Dopaminergic_neuron	pd	523	0.6460906097877062	0.703655359122778
p103_m68.Dopaminergic_neuron	961	7467	2	124	1.58730158730159	p103_m68	Dopaminergic_neuron	pd	126	0.13588400954963242	0.26012409595085817
p103_m68.Dopaminergic_neuron	2181	4830	3	298	0.996677740863787	p103_m68	Dopaminergic_neuron	pd	301	0.2019544040254495	0.33401284546149285
p103_m68.Dopaminergic_neuron	977	4190	2	108	1.81818181818182	p103_m68	Dopaminergic_neuron	pd	110	0.11059241304244671	0.2260191947487588
p103_m68.Dopaminergic_neuron	1769	9063	2	288	0.689655172413793	p103_m68	Dopaminergic_neuron	pd	290	0.3933093093324507	0.5065770286346674
