name	break5	break3	delread	wtread	heteroplasmy	total_depth	p_value	q_value
SRR30600800.20000	2076	2260	2	17	10.5263157894737	19	0.0015469971913597558	0.009797648878611787
SRR30600800.200000	2064	2259	5	159	3.04878048780488	164	0.0013949569863246358	0.009797648878611787
SRR30600800.200000	2076	2260	5	157	3.08641975308642	162	0.0013334854422787368	0.009797648878611787
SRR30600800.200000	7820	11739	3	9	25.0	12	1.3970924461093048e-05	0.0002654475647607679
SRR30600800.2000000	7996	11461	4	206	1.9047619047619	210	0.010280673084566372	0.048833197151690266
SRR30600800.2000000	2064	2259	52	1640	3.07328605200946	1692	6.757972922266653e-06	0.0001926022282845996
SRR30600800.2000000	7820	11739	14	82	14.5833333333333	96	2.1458723686862413e-11	1.2231472501511576e-09
SRR30600800.2000000	2076	2260	26	1604	1.59509202453988	1630	0.0020187041046411114	0.011506613396454335
SRR30600800.2000000	2056	2260	29	1667	1.70990566037736	1696	0.0012676343969622028	0.009797648878611787
SRR30600800.2000000	7929	11510	4	95	4.04040404040404	99	0.0010590181259473308	0.009797648878611787
SRR30600800.2000000	7957	11511	5	122	3.93700787401575	127	0.000528190303269005	0.007526711821583321
SRR30600800.2000000	7986	11461	4	172	2.27272727272727	176	0.006282876111497582	0.03255672166866929
